明細コード,年月,検索カナ,品名,YJコード,一般名称カナ,一般名称,単位,棚番１,棚番２,理論在庫,単価,在庫金額,不動月数,在庫金額順位,発注点,調整数,自動発注対象外,発注点有効,後発,未処方日数,薬剤備考,薬価,薬価在庫金額,前月末理論在庫,入庫数,入庫金額,処方出庫数,処方出庫金額,処方外出庫数,処方外出庫金額,在庫月数
,202606,ｱｾﾄｱﾐﾉﾌｪﾝ,アセトアミノフェン錠２００ｍｇ「ケンエー」,1141007F1241,アセトアミノフェンジョウ,アセトアミノフェン錠,錠,,,300,5.61,1683,,612,0,0,0,0,1,,"",6.3,1890,,300,1683,0,0,0,0,0
,202606,ｱｾﾄｱﾐﾉﾌｪﾝ,アセトアミノフェン錠３００ｍｇ「ケンエー」,1141007F2060,アセトアミノフェンジョウ,アセトアミノフェン錠,錠,,,200,5.61,1122,,773,0,0,0,0,1,,"",6.3,1260,,200,1122,0,0,0,0,0
,202606,ｱｾﾄｱﾐﾉﾌｪﾝ,アセトアミノフェン錠５００ｍｇ「ケンエー」,1141007F3040,アセトアミノフェンジョウ,アセトアミノフェン錠,錠,,,100,9.97,997,,810,0,0,0,0,1,,"",11.2,1120,,100,997,0,0,0,0,0
,202606,ｱﾃﾃﾞｨｵ,アテディオ配合錠,2149120F1027,バルサルタン・シルニジピンハイゴウザイジョウ,バルサルタン・シルニジピン配合剤錠,錠,,,70,0,0,,1151,0,0,0,0,0,,"",29.3,2051,70,0,0,0,0,0,0,0
,202606,ｱﾗﾐｽﾄ,アラミスト点鼻液２７．５μｇ５６噴霧用,1329711Q1021,フルチカゾンフランカルボンサンエステルエキ,フルチカゾンフランカルボン酸エステル液,キット,,,4,0,0,,1151,0,0,0,0,0,,"",746.3,2985,4,0,0,0,0,0,0,0
,202606,ｱﾙｻﾙﾐﾝ,アルサルミン細粒９０％,2329008C1097,スクラルファートスイワブツサイリュウ,スクラルファート水和物細粒,Ｇ,,,168,0,0,,1151,0,0,0,0,0,,"",6.9,1159,168,0,0,0,0,0,0,0
,202606,ｱﾙﾀﾞｸﾄﾝｴｰ,アルダクトンＡ錠２５ｍｇ,2133001F1522,スピロノラクトンジョウ,スピロノラクトン錠,錠,,,151,0,0,,1151,0,0,0,0,0,,"",11.5,1737,151,0,0,0,0,0,0,0
,202606,ｱﾙﾌｧｶﾙｼﾄﾞｰ,アルファカルシドールカプセル０．２５μｇ「フソー」,3112001M1267,アルファカルシドールカプセル,アルファカルシドールカプセル,カプセル,,,100,0,0,,1151,0,0,0,0,1,,"",6.3,630,100,0,0,0,0,0,0,0
,202606,ｲﾌｪﾝﾌﾟﾛｼﾞﾙ,イフェンプロジル酒石酸塩錠２０ｍｇ「サワイ」,2190005F2213,イフェンプロジルシュセキサンエンジョウ,イフェンプロジル酒石酸塩錠,錠,,,136,0,0,,1151,0,0,0,0,1,,"",10.8,1469,136,0,0,0,0,0,0,0
,202606,ｲﾌﾞﾌﾟﾛﾌｪﾝ,イブプロフェン錠２００ｍｇ「ＮＩＧ」,1149001F2222,イブプロフェンジョウ,イブプロフェン錠,錠,,,100,0,0,,1151,0,0,0,0,0,,"",8.9,890,100,0,0,0,0,0,0,0
